D1,D2,match
65,270,1
291,73,1
322,443,1
34,797,1
260,601,1
125,162,1
208,1850,1
64,619,1
95,990,1
37,1453,1
33,1147,1
91,685,1
173,1310,1
8,1698,1
127,2062,1
190,1954,1
270,1074,1
301,549,1
143,1249,1
219,60,1
56,151,1
196,307,1
101,1154,1
161,527,1
157,222,1
43,1622,1
258,292,1
23,85,1
183,1781,1
179,1474,1
294,380,1
263,904,1
132,773,1
247,1725,1
150,51,1
10,1561,1
71,1235,1
119,2244,1
229,539,1
14,1872,1
171,1001,1
98,1301,1
167,694,1
250,1486,1
40,1764,1
254,1795,1
6,1391,1
115,1944,1
194,0,1
59,454,1
273,1381,1
134,630,1
138,938,1
104,1462,1
164,834,1
29,392,1
81,1710,1
73,1095,1
77,1403,1
280,1196,1
46,1933,1
130,466,1
319,140,1
205,1541,1
69,925,1
147,2003,1
279,1549,1
232,844,1
17,2177,1
283,1858,1
216,1662,1
2,737,1
224,232,1
284,2166,1
333,914,1
306,854,1
329,609,1
158,2130,1
257,2104,1
215,2009,1
1,1084,1
221,369,1
316,2086,1
49,2233,1
107,1772,1
92,331,1
238,1013,1
242,1321,1
286,2021,1
