rest1clean.csv,rest2clean.csv
0,1036
1,780
2,543
3,897
4,831
4,686
5,991
6,342
7,1193
8,512
9,1108
10,1239
11,586
12,1310
13,692
14,1514
15,885
16,1222
17,783
18,78
19,1540
20,105
21,292
22,307
23,1195
24,978
25,824
26,584
27,1110
28,1033
29,1313
30,1151
31,1239
32,197
33,758
34,1144
35,416
36,1345
37,80
38,1548
39,308
40,917
41,523
42,126
43,26
44,347
45,1019
46,204
47,461
48,211
49,1190
50,1282
51,676
52,1550
53,891
54,788
55,1314
56,130
57,1000
58,350
59,1192
60,1201
61,459
62,1466
63,1232
64,679
65,1511
66,893
67,508
68,260
69,790
70,716
71,1538
71,740
71,551
71,976
71,839
72,1002
73,934
74,1203
75,830
77,1039
78,1319
79,1244
80,150
81,841
82,190
83,513
84,1352
85,1279
86,722
87,1555
88,356
89,704
90,834
91,134
92,1463
93,1436
94,886
95,357
96,1245
97,568
98,469
99,929
100,1466
101,685
102,1557
103,889
104,902
105,233
106,1394
107,136
108,47
109,929
110,359
111,779
112,571
113,175
114,1483
115,471
116,393
117,524
118,687
119,610
120,903
121,515
122,117
123,1242
124,725
125,279
125,1264
125,227
125,132
125,1307
125,311
125,1339
125,1005
125,346
125,951
126,940
127,525
128,1466
129,1519
130,195
131,972
132,398
133,1250
134,612
135,383
136,519
137,1359
138,563
139,692
140,0
141,941
142,240
143,390
144,1252
145,566
146,1458
147,1094
148,1362
149,1032
150,1293
151,604
152,3
153,428
154,243
155,1399
156,1168
157,143
158,55
159,366
160,289
161,578
162,183
163,939
164,262
165,402
166,848
167,618
168,1503
169,191
170,1405
171,734
172,653
173,60
174,947
175,291
176,37
177,1213
178,186
179,1056
180,234
181,173
182,1260
183,619
184,1467
185,228
186,447
187,737
188,662
189,948
190,237
191,1150
192,772
193,1058
194,983
195,373
196,97
197,754
198,1100
199,862
200,287
201,1300
202,1507
203,1408
204,777
205,616
206,67
207,986
208,297
209,1188
210,1417
211,1104
212,409
213,331
214,1304
215,614
216,626
217,1508
218,1287
219,864
220,1411
221,1459
222,72
223,298
224,1453
225,118
226,411
227,339
228,485
229,1462
230,838
231,453
232,375
233,743
234,667
235,958
236,1329
237,607
