dblpclean.csv,acmclean.csv
2093,0
1448,1
440,2
462,3
965,4
1132,5
1675,6
1648,7
177,8
2448,9
1228,10
1242,11
673,12
605,13
2056,14
620,15
1644,16
1209,17
30,18
1988,19
612,20
1672,21
1221,22
472,23
323,24
1169,25
1993,26
1017,27
2413,28
1110,29
2473,30
1889,31
1800,32
578,33
127,34
615,35
588,36
1035,37
924,38
65,39
2496,40
2241,41
1260,42
1047,43
724,44
1048,45
1690,46
912,47
2451,48
5,49
1719,50
525,51
856,52
795,53
1867,54
1066,55
1165,56
750,57
1396,58
2270,59
1767,60
2035,61
925,62
2309,63
814,64
1095,65
1717,66
2226,67
790,68
1580,69
1266,70
788,71
1637,72
1911,73
1626,74
1438,75
1003,76
1235,77
555,78
1753,79
1688,80
1819,81
859,82
1971,83
1335,84
2254,85
2048,86
1554,87
885,88
1978,89
1549,90
115,91
1117,92
372,93
706,94
1547,95
2404,96
2535,97
394,98
1681,99
1762,100
1360,101
186,102
871,103
1077,104
1052,105
1252,106
2327,107
2234,108
484,109
1694,110
138,111
1858,112
2372,113
670,114
1184,115
2163,116
0,117
266,118
2502,119
589,120
2221,121
1649,122
2271,123
2494,124
1064,125
1219,126
1367,127
1569,128
2015,129
567,130
1034,131
697,132
961,133
1114,134
1543,135
902,136
754,137
324,138
610,139
384,140
1426,141
1593,142
456,143
585,144
906,145
1268,146
58,147
1389,148
1127,149
109,150
1656,151
738,152
552,153
617,154
1135,155
971,156
737,157
1738,158
24,159
1725,160
1655,161
348,162
1012,163
278,164
498,165
1075,166
204,167
549,168
1716,169
81,170
2449,171
648,172
821,173
362,174
1143,175
133,176
495,177
785,178
970,179
519,180
1118,181
2430,182
191,183
1811,184
437,185
1330,186
532,187
2322,188
142,189
2085,190
2352,191
230,192
490,193
1794,194
889,195
811,196
101,197
2415,198
1112,199
630,200
1850,201
335,202
2190,203
541,204
1647,205
1480,206
385,207
1679,208
166,209
2212,210
1232,211
2346,212
232,213
379,214
1199,215
1454,216
1670,217
637,218
269,219
2334,220
1576,221
1872,222
483,223
1417,224
2100,225
927,226
1964,227
2441,228
1125,229
1574,230
2150,231
1555,232
350,233
2339,234
560,235
747,236
760,237
596,238
445,239
1265,240
1375,241
1038,242
742,243
1297,244
377,245
206,246
1586,247
221,248
1842,249
1410,250
357,251
150,252
2315,253
185,254
1519,255
1446,256
1676,257
1033,258
727,259
1645,260
991,261
688,262
56,263
390,264
2283,265
1882,266
579,267
2068,268
2429,269
2021,270
763,271
