dblpclean.csv,scholarclean.csv
0,21732
1,56588
2,60622
3,21408
4,2541
5,45565
6,16121
7,32111
8,18579
9,21608
10,19424
11,26264
12,9522
13,33467
14,2019
15,7909
16,22412
17,39778
18,25181
19,4918
20,9485
21,15667
22,4252
23,12125
24,20020
25,25681
26,42771
27,21036
28,32412
29,11586
30,19412
31,10061
32,12782
33,51622
34,7840
35,18487
36,1425
37,24704
38,17035
39,31172
40,33595
41,15779
42,27804
43,61202
44,12237
45,57519
46,18925
47,5319
48,60870
49,42564
50,5076
51,1799
52,26493
53,6291
54,16105
55,19874
56,55433
57,59336
58,37469
59,27180
60,26792
61,33002
62,36610
63,17903
64,3385
65,39827
66,23006
67,47953
68,8672
69,15312
70,9357
71,50886
72,45664
73,34208
74,8225
75,27517
76,25543
77,44890
78,30252
79,29203
80,21832
81,61239
82,8901
83,3256
84,48758
85,1333
86,22002
87,7029
88,9157
89,30107
90,3379
91,31260
92,14103
93,10992
94,31221
95,36839
96,16520
97,11671
98,1833
99,3664
100,116
101,2104
102,1732
103,14326
104,2097
105,3449
106,49016
107,43941
108,9451
109,49494
110,7247
111,1807
112,34316
113,17732
114,4592
115,15591
116,56444
117,40566
118,11605
119,46497
120,22466
121,59700
122,1960
123,1490
124,27867
125,20275
126,39325
127,36204
128,24130
129,36440
130,19326
131,9102
132,6678
133,58298
134,46139
135,24938
136,6932
137,17754
138,16893
139,3446
140,19343
141,19242
142,57296
143,49407
144,36459
145,31058
146,1041
147,7576
148,5770
149,22278
150,53061
151,41133
152,7361
153,50248
154,13350
155,22096
156,8167
157,20679
158,25365
159,36763
160,21979
161,4777
162,19398
163,50628
164,24154
165,33809
166,7568
167,28075
168,31100
169,34905
170,39546
171,26104
172,7577
173,39666
174,3307
175,434
176,39155
177,27026
178,26326
179,38481
180,30482
181,2286
182,18671
183,18379
184,51846
185,44720
186,47727
187,31618
188,57942
189,42995
190,3521
191,26561
192,48805
193,17374
194,16572
195,10279
196,32305
197,40815
198,4654
199,35281
200,60087
201,3354
202,18057
203,10676
204,16829
205,8672
206,32761
207,17390
208,22006
209,58722
210,4656
211,54668
212,31905
213,44997
214,39993
215,8647
216,5881
217,54221
218,294
219,1829
220,45567
221,27486
222,11667
223,2057
224,44442
225,36256
226,58845
227,37760
228,29242
229,47831
230,44248
231,5394
232,21149
233,2530
234,10740
235,1681
236,29091
237,17547
238,42197
239,13579
240,17394
241,21076
242,4959
243,60285
244,23882
245,1990
246,16555
247,26720
248,51769
249,27720
250,19321
251,22819
252,29257
253,6398
254,28272
255,22649
256,2862
257,31036
258,35927
259,47653
260,25
261,31283
262,57473
263,21718
264,36779
265,37050
266,33057
267,53039
268,9589
269,13579
270,4247
271,1030
272,37000
273,14237
274,31322
275,15162
276,9315
277,36161
278,36523
279,50929
280,21445
281,15607
282,1605
283,20800
284,32044
285,29617
286,27715
287,30407
288,59700
289,2582
290,9936
291,57955
292,20921
293,4743
294,37025
295,43896
296,53770
297,18860
298,10774
299,1505
300,29801
301,40649
302,34203
303,38272
304,30447
305,54154
306,32755
307,34799
308,2464
309,36802
310,43184
311,5673
312,9297
313,19337
314,5975
315,582
316,37067
317,14396
318,10539
319,15389
320,34285
321,7029
322,53194
323,39764
324,49581
325,53064
326,13014
327,30031
328,44399
329,31964
330,48856
331,12345
332,9424
333,9213
334,56034
335,32681
336,35679
337,11287
338,21025
339,57362
340,37068
341,15628
342,39857
343,17304
344,35732
345,55924
346,240
347,16
348,22588
349,57538
350,56558
351,19515
352,5639
353,37484
354,12018
355,834
356,50212
357,2023
358,41770
359,56256
360,4270
361,22156
362,14819
363,50773
364,133
365,32225
366,6579
367,37068
368,18795
369,17680
370,6941
371,53338
372,2608
373,23018
374,22550
375,25906
376,33951
377,27201
378,61018
378,24981
379,6136
380,18115
381,11079
382,40474
383,13579
384,17778
385,11554
386,35504
387,35058
388,638
389,57030
390,14804
391,60611
392,13814
393,9589
394,37904
395,3631
396,60919
397,7411
398,30395
399,42861
400,59188
401,6147
402,5522
403,8866
404,36365
405,36588
406,48240
407,49916
408,36540
409,40648
410,59550
411,2172
412,26166
413,178
414,51756
415,59929
416,37592
417,13449
418,25525
419,17249
420,39950
421,21371
422,38835
423,27420
424,16793
425,36981
426,9157
427,1268
428,54593
429,37112
430,32856
431,3634
432,43893
433,9201
434,3375
435,60489
436,10817
437,30672
438,3192
439,49481
440,51215
441,13543
442,54214
443,1115
444,1589
445,8206
446,5707
446,55922
447,59700
448,11702
449,25613
450,23514
451,55963
452,10270
453,22827
454,14042
455,9212
456,47540
457,36164
458,28183
459,2031
460,42727
461,9450
462,40828
463,32121
464,59700
465,14370
466,2970
467,47159
468,55621
469,28846
470,34409
471,5118
472,20442
473,40095
474,7746
475,32572
476,7029
477,31669
478,34930
479,35990
480,17806
481,42456
482,44552
483,5615
484,7374
485,11029
486,36186
487,1394
488,57002
489,47259
490,22857
491,26318
492,21879
493,15569
494,13682
495,37127
496,6309
497,45055
498,14944
499,52036
500,39121
501,36580
502,55035
503,55937
504,8589
505,58861
506,27635
507,13318
508,3161
509,5406
510,16624
511,6913
512,50601
513,22053
514,37052
515,40121
516,31833
517,40015
518,1392
519,30883
520,9678
521,40558
522,2493
523,19999
524,10981
525,33622
526,43367
527,9790
528,54959
529,47261
530,50349
531,21526
532,32907
533,3690
534,52916
535,56403
536,22861
537,7276
538,32686
539,29325
540,6666
541,34167
542,32604
543,52642
544,2297
545,8562
546,37068
547,6360
548,32833
549,13347
550,260
551,55091
552,14526
553,3984
554,12401
555,15868
556,40632
557,37596
558,35121
559,17588
560,29066
561,53369
562,19131
563,38139
564,51007
565,255
566,8564
567,21232
568,28270
569,1041
570,4333
571,7668
572,36420
573,17230
574,12185
575,29013
576,299
577,47806
578,43103
579,15074
580,7254
581,6524
582,21628
583,6373
584,59212
585,17835
586,38362
587,6691
588,7450
589,2235
590,20302
591,11199
592,28581
593,44333
594,7446
595,54392
596,381
597,2506
598,55981
599,46586
600,24109
601,7068
602,35840
603,28031
604,53720
605,2635
606,30918
607,16391
608,655
609,3729
610,8639
611,31503
612,11247
613,16185
614,14989
615,7380
616,11767
617,8672
618,10966
619,9462
620,15781
621,22129
622,50095
623,31338
624,59700
625,37142
626,52006
627,8908
628,19597
629,31829
630,20611
631,18643
632,22424
633,2485
634,9287
635,19702
636,31360
637,26797
638,50363
639,12370
640,21663
641,27097
642,3201
643,50542
644,44003
645,15578
646,6753
647,6766
648,20415
649,36520
650,1956
651,30087
652,24663
653,7853
654,33329
655,20989
656,12042
657,42157
658,561
659,8672
660,2050
661,5917
662,2867
663,51639
664,3100
665,43892
666,37175
667,58851
668,13136
669,19924
670,36859
671,22230
672,3247
673,8672
674,35488
675,55747
676,12455
677,54098
678,13414
679,2035
680,31779
681,6616
682,22252
683,51094
684,25544
685,35228
686,28915
687,29288
688,8672
689,16221
690,40289
691,11705
692,46145
693,37068
694,18180
695,3192
696,4086
697,22746
698,57194
699,32310
700,32344
701,26012
702,20765
703,37917
704,29050
705,1867
706,48923
707,16938
708,19845
709,292
710,432
711,23718
712,48479
713,2137
714,53842
715,47327
716,6938
717,5828
718,10368
719,56288
720,35678
721,53348
722,22610
