File1_Data,File2_Data
"{'id': '0', 'http://www.okkam.org/ontology_restaurant1.owl#name': 'new york', 'http://www.okkam.org/ontology_restaurant1.owl#phone_number': '', 'http://www.okkam.org/ontology_restaurant1.owl#street': ''}",
"{'id': '1', 'http://www.okkam.org/ontology_restaurant1.owl#name': 'la grotta', 'http://www.okkam.org/ontology_restaurant1.owl#phone_number': '404/231-1368', 'http://www.okkam.org/ontology_restaurant1.owl#street': ''}",
"{'id': '2', 'http://www.okkam.org/ontology_restaurant1.owl#name': 'fenix', 'http://www.okkam.org/ontology_restaurant1.owl#phone_number': '213/848-6677', 'http://www.okkam.org/ontology_restaurant1.owl#street': ''}","{'id': '543', 'http://www.okkam.org/ontology_restaurant2.owl#name': '', 'http://www.okkam.org/ontology_restaurant2.owl#phone_number': '', 'http://www.okkam.org/ontology_restaurant2.owl#street': '747 ninth ave.'}"
"{'id': '3', 'http://www.okkam.org/ontology_restaurant1.owl#name': '', 'http://www.okkam.org/ontology_restaurant1.owl#phone_number': '', 'http://www.okkam.org/ontology_restaurant1.owl#street': '570 4th st.'}","{'id': '897', 'http://www.okkam.org/ontology_restaurant2.owl#name': '', 'http://www.okkam.org/ontology_restaurant2.owl#phone_number': '', 'http://www.okkam.org/ontology_restaurant2.owl#street': '670 golden gate ave.'}"
"{'id': '4', 'http://www.okkam.org/ontology_restaurant1.owl#name': '', 'http://www.okkam.org/ontology_restaurant1.owl#phone_number': '', 'http://www.okkam.org/ontology_restaurant1.owl#street': '43 w. 65th st.'}",
"{'id': '4', 'http://www.okkam.org/ontology_restaurant1.owl#name': '', 'http://www.okkam.org/ontology_restaurant1.owl#phone_number': '', 'http://www.okkam.org/ontology_restaurant1.owl#street': '43 w. 65th st.'}","{'id': '686', 'http://www.okkam.org/ontology_restaurant2.owl#name': 'taiko', 'http://www.okkam.org/ontology_restaurant2.owl#phone_number': '310-207-7782', 'http://www.okkam.org/ontology_restaurant2.owl#street': ''}"
,"{'id': '991', 'http://www.okkam.org/ontology_restaurant2.owl#name': 'koo koo roo', 'http://www.okkam.org/ontology_restaurant2.owl#phone_number': '213-655-9045', 'http://www.okkam.org/ontology_restaurant2.owl#street': ''}"
"{'id': '6', 'http://www.okkam.org/ontology_restaurant1.owl#name': 'rainbow room', 'http://www.okkam.org/ontology_restaurant1.owl#phone_number': '212/632-5000', 'http://www.okkam.org/ontology_restaurant1.owl#street': ''}","{'id': '342', 'http://www.okkam.org/ontology_restaurant2.owl#name': '', 'http://www.okkam.org/ontology_restaurant2.owl#phone_number': '', 'http://www.okkam.org/ontology_restaurant2.owl#street': '584 valencia st.'}"
"{'id': '7', 'http://www.okkam.org/ontology_restaurant1.owl#name': '', 'http://www.okkam.org/ontology_restaurant1.owl#phone_number': '', 'http://www.okkam.org/ontology_restaurant1.owl#street': '2 harrison st.  near hudson st.'}",
"{'id': '8', 'http://www.okkam.org/ontology_restaurant1.owl#name': 'aureole', 'http://www.okkam.org/ontology_restaurant1.owl#phone_number': '212/ 319-1660', 'http://www.okkam.org/ontology_restaurant1.owl#street': ''}","{'id': '512', 'http://www.okkam.org/ontology_restaurant2.owl#name': 'brighton coffee shop', 'http://www.okkam.org/ontology_restaurant2.owl#phone_number': '310-276-7732', 'http://www.okkam.org/ontology_restaurant2.owl#street': ''}"
