Index1,id,http://www.okkam.org/ontology_restaurant1.owl#name,http://www.okkam.org/ontology_restaurant1.owl#phone_number,http://www.okkam.org/ontology_restaurant1.owl#street,Index2,id,http://www.okkam.org/ontology_restaurant2.owl#name,http://www.okkam.org/ontology_restaurant2.owl#phone_number,http://www.okkam.org/ontology_restaurant2.owl#street
0,0,new york,,,1036,1457,new york noodletown,212/349-0923,
1,1,la grotta,404/231-1368,,780,1084,la grotta,404-231-1368,
2,2,fenix,213/848-6677,,543,737,fenix at the argyle,213-848-6677,
3,3,,,570 4th st.,897,1244,,,4th st.
4,4,,,43 w. 65th st.,831,1155,,,58 w. 65th st.
4,4,,,43 w. 65th st.,686,940,,,48 w. 65th st.
5,6,rainbow room,212/632-5000,,991,1391,rainbow room,212-632-5000,
6,7,,,2 harrison st.  near hudson st.,342,448,,,2 harrison st.
7,8,aureole,212/ 319-1660,,1193,1698,aureole,212-319-1660,
8,9,atlanta,,,512,689,,,405 atlantic ave.
9,10,cafe claude,415/392-3505,,1108,1561,cafe claude,415-392-3505,
10,11,los angeles,,,1239,1764,spago (los angeles),310-652-4025,
11,12,,,2880 las vegas blvd. s,586,800,,,2880 las vegas blvd. s
12,14,chin's,702/733-8899,,1310,1872,chin's,702-733-8899,
13,15,,,160 central park s,692,950,,,160 central park s
14,17,island spice,212/765-1737,,1514,2177,island spice,212-765-1737,
15,18,,,8284 melrose ave.,885,1228,,,8284 melrose ave.
16,19,san francisco,,,1222,1738,old san francisco,,
17,21,,,1397 n. highland ave.,783,1088,,,1397 n. highland ave.
18,23,ciboulette,404/874-7600,,78,85,ciboulette restaurant,404-874-7600,
19,24,,,6703 melrose ave.,1540,2217,,,6703 melrose ave.
20,25,,,95 ave. a at 6th st.,105,120,,,458 6th ave. at 11th st.
21,27,rose pistola,415/399-0499,,292,374,rose pistola,415-399-0499,
22,29,montrachet,212/ 219-2777,,307,392,montrachet,212-219-2777,
23,30,,,13 w. 54th st.,1195,1701,,,13 w. 54th st.
24,32,rex il ristorante,213/627-2300,,978,1370,rex il ristorante,213-627-2300,
25,33,delectables,404/681-2909,,824,1147,delectables,404-681-2909,
26,34,hotel bel-air,310/472-1211,,584,797,bel-air hotel,310-472-1211,
27,35,,,1 mission st.,1110,1563,,,1 mission st.
28,37,oceana,212/759-5941,,1033,1453,oceana,212-759-5941,
29,38,,,152 w. 44th st.,1313,1876,,,152 w. 44th st.
30,39,,,1737 post st.,1151,1632,,,1737 post st.
31,40,spago,310/652-4025,,1239,1764,spago (los angeles),310-652-4025,
32,41,,,42 e. 20th st.  between park ave. s and broadway,197,251,,,111 e. 22nd st.  between park ave. s and lexington ave.
33,42,las vegas,,,758,1048,only in las vegas,,
34,43,toulouse,404/351-9533,,1144,1622,toulouse,404-351-9533,
35,44,studio city,,,416,560,fog city diner,415/982-2000,
36,46,smith & wollensky,212/753-1530,,1345,1933,smith & wollensky,212-753-1530,
37,47,,,3073 piedmont road,80,88,,,3073 piedmont rd.
38,49,dawat,212/355-7555,,1548,2233,dawat,212-355-7555,
39,50,,,57 jane st.  off hudson st.,308,394,,,57 jane st.
40,51,lulu,415/495-5775,,917,1273,bistro roti,415/495-6500,
