id1,id2,match
0,1457,0
1,1084,1
2,737,0
3,1244,0
4,1155,0
4,940,0
6,1391,1
7,448,0
8,1698,1
9,689,0
10,1561,0
11,1764,0
12,800,0
14,1872,0
15,950,1
17,2177,0
18,1228,1
19,1738,0
21,1088,1
23,85,0
24,2217,1
25,120,0
27,374,1
29,392,1
30,1701,1
32,1370,1
33,1147,1
34,797,0
35,1563,1
37,1453,0
38,1876,1
39,1632,1
40,1764,0
41,251,0
42,1048,0
43,1622,0
44,560,0
46,1933,0
47,88,0
49,2233,0
50,394,0
51,1273,0
53,705,1
56,151,1
57,27,0
59,454,0
61,1432,0
62,259,1
64,619,0
65,270,0
66,1694,0
67,1829,0
69,925,1
70,2237,0
71,1235,0
73,1095,0
74,1879,0
75,155,0
77,1403,0
78,457,0
80,1696,0
81,1710,0
82,616,0
84,2103,0
85,1752,0
86,929,1
87,2173,0
89,1239,1
91,685,0
92,331,0
93,1097,0
95,990,0
96,2213,0
96,1023,0
96,747,0
96,1365,0
96,1165,0
97,1406,0
98,1301,0
99,1712,0
101,1154,0
104,1462,0
105,1887,1
107,1772,0
108,183,0
109,1167,0
111,242,1
112,690,0
115,1944,0
116,1824,1
117,997,1
119,2244,1
120,464,0
122,970,0
123,1158,0
125,162,0
126,2100,0
127,2062,0
128,1229,0
130,466,1
131,1774,0
132,773,1
134,630,1
135,1291,0
136,2103,0
138,938,0
139,2246,0
141,1233,0
143,1249,1
144,298,0
147,2003,1
148,164,1
150,51,1
151,1291,1
152,469,0
154,1082,0
155,778,0
157,222,0
158,2130,0
159,632,1
161,527,0
162,706,1
163,941,0
164,834,0
165,1251,1
167,694,1
168,139,0
169,1769,1
171,1001,0
172,357,0
172,1800,0
172,290,0
172,159,0
172,1868,0
172,397,0
172,1922,0
172,1410,0
172,452,0
172,1327,0
173,1310,0
174,707,0
176,2103,0
178,2186,0
179,248,0
180,1358,0
181,533,0
183,1781,0
184,837,1
187,507,0
188,698,1
190,1954,0
191,766,0
192,950,0
194,0,0
195,1313,1
196,307,0
198,522,0
199,1784,0
200,770,1
202,2094,0
205,1541,0
206,1957,0
207,1452,0
208,1850,0
209,824,1
210,3,1
212,573,0
213,312,0
215,2009,0
216,1662,0
217,174,0
219,60,0
220,479,0
221,369,0
222,788,0
224,232,0
226,1309,1
227,333,0
229,539,0
230,1176,0
232,844,0
233,2160,0
234,243,0
236,2016,0
238,1013,1
239,889,0
240,65,1
242,1321,0
243,373,1
246,39,0
247,1725,0
248,235,0
250,1486,0
251,299,1
252,217,0
254,1795,0
255,845,0
257,2104,0
258,292,1
260,601,0
261,1017,0
263,904,0
264,1323,0
265,303,1
267,1631,1
270,1074,0
271,1488,1
273,1381,0
274,493,0
275,110,0
277,1042,0
279,1549,0
280,1196,1
281,367,1
283,1858,1
284,2166,0
286,2021,0
288,1079,1
289,842,1
291,73,0
292,1385,0
294,380,1
295,1691,0
297,2033,0
299,1554,0
301,549,0
302,427,1
303,1863,0
305,840,0
306,854,0
307,2169,0
309,1837,0
310,1198,0
311,2024,1
312,2095,1
313,78,0
314,382,0
316,2086,0
319,140,0
320,552,0
322,443,0
323,651,0
324,2099,1
326,1164,1
329,609,0
330,495,0
331,1027,0
333,914,0
334,1336,1
336,1905,0
337,830,0
